시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자,acc_cnt,sch_cnt,child_cnt,old_cnt,bus_cnt,apar_rd_cnt,apar_rd_fam,apar_ad_cnt,apar_ad_fam,cctv_cnt
세종특별자치시,없음,달빛1로,,세종특별자치시아름동1471,SJ00017,1,,N,36.5151919379,127.2456090505,3,5.3,10.2,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,1,10,1,0,2,5,2876,10,8007,0.0
세종특별자치시,없음,세종로,,세종특별자치시고운동1477,SJ00018,1,,N,36.5067750409,127.2311792477,5,5.3,18.7,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,0,5,0,0,2,11,9427,21,12094,0.0
세종특별자치시,없음,세종로,,세종특별자치시고운동1477,SJ00019,1,,N,36.5067750409,127.2311792477,5,5.3,19.4,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,0,5,0,0,2,11,9427,21,12094,0.0
세종특별자치시,없음,세종로,,세종특별자치시고운동1477,SJ00020,1,,N,36.5067750409,127.2311792477,5,5.3,18.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,0,5,0,0,2,11,9427,21,12094,0.0
세종특별자치시,없음,마음로,,세종특별자치시고운동2057,SJ00021,1,,Y,36.5111417824,127.2296486987,4,5.3,13.5,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,8,6,0,0,2,7,4156,21,12094,6.0
세종특별자치시,없음,나리로,,세종특별자치시한솔동1249,SJ00022,1,,N,36.478617,127.261494,5,5.3,23.1,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,7,5,0,0,2,1,1328,7,6520,0.0
세종특별자치시,없음,나리로,,세종특별자치시한솔동1249,SJ00023,1,,N,36.478439,127.261494,2,5.3,11.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,7,5,0,0,2,1,1328,7,6520,0.0
세종특별자치시,없음,누리로,,세종특별자치시한솔동1229,SJ00024,1,,N,36.475454,127.252495,2,5.3,11.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,10,6,1,0,2,3,2950,7,6520,0.0
세종특별자치시,없음,누리로,,세종특별자치시한솔동1229,SJ00025,1,,N,36.475454,127.252693,2,5.3,11.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,11,6,1,0,2,3,2950,7,6520,0.0
세종특별자치시,없음,누리로,,세종특별자치시한솔동1229,SJ00026,1,,Y,36.480068,127.252693,4,5.3,15.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,3,10,1,0,2,3,2950,7,6520,0.0
세종특별자치시,없음,어울로,,세종특별자치시한솔동1227,SJ00027,1,,Y,36.480752,127.250608,7,5.3,24.4,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,5,10,1,0,3,0,0,7,6520,0.0
세종특별자치시,없음,어울로,,세종특별자치시한솔동1227,SJ00028,1,,Y,36.480706,127.250453,6,5.3,24.4,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,5,10,1,0,3,0,0,7,6520,0.0
세종특별자치시,없음,어울로,,세종특별자치시한솔동1227,SJ00029,1,,Y,36.480594,127.250461,4,5.3,18.7,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,5,10,1,0,3,0,0,7,6520,0.0
세종특별자치시,없음,어울로,,세종특별자치시한솔동1227,SJ00030,1,,Y,36.480594,127.250642,3,5.3,15.7,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,7,10,1,0,4,0,0,7,6520,0.0
세종특별자치시,없음,장기로,,세종특별자치시장군면봉안리508,SJ00031,99,,Y,36.4988842733,127.2245569802,6,5.3,26.0,Y,,,,,Y,,N,,세종특별자치시,044-300-5535,2022-10-21,4,0,0,0,1,0,0,0,0,1.0
세종특별자치시,없음,장기로,,세종특별자치시장군면봉안리508,SJ00032,99,,Y,36.4988842733,127.2245569802,2,5.3,9.0,Y,,,,,Y,,N,,세종특별자치시,044-300-5535,2022-10-21,4,0,0,0,1,0,0,0,0,1.0
세종특별자치시,없음,마음로,,세종특별자치시고운동1366,SJ00033,1,,N,36.5156846522,127.2308396175,3,5.3,13.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,2,7,0,0,0,7,4156,21,12094,0.0
세종특별자치시,없음,마음로,,세종특별자치시고운동1366,SJ00034,1,,N,36.5156846522,127.2308396175,6,5.3,16.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,2,7,0,0,0,7,4156,21,12094,0.0
세종특별자치시,없음,마음로,,세종특별자치시고운동1366,SJ00035,1,,N,36.5156846522,127.2308396175,4,5.3,13.1,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,2,7,0,0,0,7,4156,21,12094,0.0
세종특별자치시,없음,마음로,,세종특별자치시고운동1366,SJ00036,1,,N,36.5156846522,127.2308396175,5,5.3,16.4,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,2,7,0,0,0,7,4156,21,12094,0.0
세종특별자치시,없음,세종로,,세종특별자치시종촌동640,SJ00037,1,,N,36.5081745339,127.2429503466,5,5.3,17.0,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,0,11,1,0,3,11,9427,12,11251,0.0
세종특별자치시,없음,세종로,,세종특별자치시종촌동640,SJ00038,1,,N,36.5081745339,127.2429503466,6,5.3,20.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,0,11,1,0,3,11,9427,12,11251,0.0
세종특별자치시,없음,세종로,,세종특별자치시종촌동640,SJ00039,1,,N,36.5081745339,127.2429503466,5,5.3,17.0,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,0,11,1,0,3,11,9427,12,11251,0.0
세종특별자치시,없음,세종로,,세종특별자치시종촌동640,SJ00040,1,,N,36.5081745339,127.2429503466,6,5.3,20.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,0,11,1,0,3,11,9427,12,11251,0.0
세종특별자치시,없음,갈매로,,세종특별자치시어진동654,SJ00041,1,,N,36.4968074047,127.2643385866,7,5.3,23.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,4,5,3,0,3,2,1258,9,4282,0.0
세종특별자치시,없음,갈매로,,세종특별자치시어진동654,SJ00042,1,,N,36.4968074047,127.2643385866,7,5.3,23.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,4,5,3,0,3,2,1258,9,4282,0.0
세종특별자치시,없음,갈매로,,세종특별자치시어진동654,SJ00043,1,,N,36.496814,127.2643385866,7,5.3,24.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,4,5,3,0,3,2,1258,9,4282,0.0
세종특별자치시,없음,갈매로,,세종특별자치시어진동654,SJ00044,1,,N,36.4968074047,127.2643385866,5,5.3,17.1,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,4,5,3,0,3,2,1258,9,4282,0.0
세종특별자치시,없음,마음로,,세종특별자치시고운동산95,SJ00045,1,,N,36.5215542252,127.234216,5,5.3,10.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,4,5,1,0,0,7,4156,21,12094,0.0
세종특별자치시,없음,마음로,,세종특별자치시고운동산95,SJ00046,1,,N,36.5215542252,127.2342136657,3,5.3,16.5,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,4,5,1,0,0,7,4156,21,12094,0.0
세종특별자치시,없음,마음로,,세종특별자치시고운동산95,SJ00047,1,,N,36.5215542252,127.234281,5,5.3,10.2,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,4,5,1,0,0,7,4156,21,12094,0.0
세종특별자치시,없음,마음로,,세종특별자치시고운동산95,SJ00048,1,,N,36.5215542252,127.234289,3,5.3,16.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2022-10-21,4,5,1,0,0,7,4156,21,12094,0.0
대전광역시,동구,비래서로,,대전광역시동구비래동668,190,1,N,N,36.35423921,127.4510723,4,6.2,12.7,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05,8,3,2,1,2,2,866,0,0,0.0
대전광역시,동구,비래서로42번길,,대전광역시동구비래동668,194,1,N,N,36.35401751,127.4491509,3,5.5,21.3,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05,11,4,2,1,2,0,0,0,0,1.0
대전광역시,동구,비래서로,,대전광역시동구비래동668,195,1,N,N,36.3541183,127.4493737,4,6.4,15.5,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05,12,4,2,1,3,2,866,0,0,1.0
대전광역시,동구,비래서로,,대전광역시동구비래동523,197,1,N,N,36.35413629,127.4490154,5,8.1,16.0,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05,11,4,2,1,2,2,866,0,0,1.0
대전광역시,동구,비래동로,,대전광역시동구비래동523,198,1,N,N,36.35433123,127.4492775,4,8.8,13.4,Y,,,,,N,Y,Y,Y,대전광역시,042-120,2023-01-05,6,4,2,1,3,0,0,0,0,1.0
대전광역시,동구,계족로,,대전광역시동구중리동227,240,1,N,N,36.35676277,127.4328254,6,7.7,22.2,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,13,1,2,2,2,18,14117,0,0,0.0
대전광역시,동구,한밭대로,,대전광역시동구중리동227,241,1,N,N,36.35871347,127.4329377,8,8.3,27.2,Y,,,,,Y,Y,Y,Y,대전광역시,042-120,2023-01-05,56,1,2,2,1,3,1709,0,0,0.0
대전광역시,동구,한밭대로,,대전광역시동구중리동227,242,1,N,Y,36.35852368,127.4328457,1,6.0,8.0,N,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,60,1,2,2,2,3,1709,0,0,0.0
대전광역시,동구,한밭대로,,대전광역시동구중리동450,263,1,N,Y,36.35939829,127.4318084,1,5.8,6.8,N,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,13,1,2,2,2,3,1709,0,0,0.0
대전광역시,동구,계족로,,대전광역시동구중리동450,269,1,N,N,36.35943225,127.4321498,7,8.5,36.6,Y,,,,,Y,Y,Y,Y,대전광역시,042-120,2023-01-05,15,1,2,2,0,18,14117,0,0,0.0
대전광역시,동구,계족로,,대전광역시동구중리동227,270,1,N,N,36.35859556,127.4326159,7,8.4,25.1,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,137,1,2,2,1,18,14117,0,0,0.0
대전광역시,동구,한밭대로,,대전광역시동구중리동227,271,1,N,N,36.35910644,127.4319179,8,8.0,26.4,Y,,,,,Y,Y,Y,Y,대전광역시,042-120,2023-01-05,97,1,2,2,3,3,1709,0,0,0.0
대전광역시,동구,한밭대로,,대전광역시동구중리동226,284,1,N,N,36.35842109,127.4335826,1,3.9,9.3,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,25,1,2,2,3,3,1709,0,0,0.0
대전광역시,동구,계족로,,대전광역시동구용전동220,288,1,N,N,36.35536003,127.4327377,6,8.0,21.3,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,12,1,4,3,2,18,14117,6,3092,0.0
대전광역시,동구,동서대로1695번길,,대전광역시동구용전동65-1,289,1,N,N,36.35343779,127.4374836,1,3.7,5.8,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,60,1,4,4,0,0,0,6,3092,0.0
대전광역시,동구,동서대로1683번길,,대전광역시동구용전동65-1,290,1,N,Y,36.35423966,127.4372895,1,1.7,9.2,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,47,1,4,4,2,0,0,6,3092,0.0
대전광역시,동구,동서대로1695번길,,대전광역시동구용전동65-15,291,1,N,N,36.35325615,127.437276,1,5.0,8.0,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,29,1,4,4,1,0,0,6,3092,0.0
대전광역시,동구,동서대로1695번길,,대전광역시동구용전동234,292,1,N,N,36.35315119,127.4371688,2,3.7,6.2,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,29,1,4,4,1,0,0,6,3092,0.0
대전광역시,동구,동서대로1683번길,,대전광역시동구용전동233,294,1,N,N,36.35384114,127.4366734,1,5.6,9.8,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,11,1,4,4,1,0,0,6,3092,0.0
대전광역시,동구,동서대로1683번길,,대전광역시동구용전동65-1,295,1,N,N,36.35374862,127.436652,1,1.8,7.8,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,12,1,4,4,0,0,0,6,3092,0.0
대전광역시,동구,한밭대로,,대전광역시동구중리동226,296,1,N,N,36.3577165,127.4344296,1,4.0,9.4,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,14,1,2,2,3,3,1709,0,0,0.0
대전광역시,동구,한밭대로,,대전광역시동구용전동226,297,1,N,Y,36.35619476,127.4362682,1,3.7,6.5,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,8,1,2,3,1,3,1709,6,3092,0.0
대전광역시,동구,한밭대로,,대전광역시동구용전동226,298,1,N,N,36.35597815,127.4362057,8,8.3,27.6,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,11,1,2,3,1,3,1709,6,3092,0.0
대전광역시,동구,한밭대로1254번길,,대전광역시동구용전동226,300,1,N,N,36.35594261,127.4359435,1,3.9,6.2,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,11,1,2,3,1,0,0,6,3092,0.0
대전광역시,동구,동서대로1653번길,,대전광역시동구중리동226,301,1,N,N,36.35691962,127.4347697,2,4.4,7.5,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,16,1,2,3,2,0,0,0,0,0.0
대전광역시,동구,한밭대로,,대전광역시동구중리동226,302,1,N,N,36.35747277,127.4341116,1,4.1,7.8,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,14,1,2,2,3,3,1709,0,0,0.0
대전광역시,동구,한밭대로1237번길,,대전광역시동구중리동226,303,1,N,N,36.35716438,127.4351142,2,5.6,8.9,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,16,1,2,2,2,1,914,0,0,0.0
대전광역시,동구,동서대로1695번길,,대전광역시동구용전동234,304,1,N,N,36.35304801,127.4371786,2,6.2,11.0,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,30,1,4,4,1,0,0,6,3092,0.0
대전광역시,동구,동서대로1695번길,,대전광역시동구용전동63-3,315,1,N,N,36.35040058,127.4374754,6,8.2,17.5,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,30,2,6,6,1,0,0,6,3092,1.0
대전광역시,동구,동서대로1668번길,,대전광역시동구용전동509,316,1,Y,N,36.34836874,127.4351628,2,8.1,15.5,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,39,3,7,6,1,0,0,6,3092,0.0
대전광역시,동구,동서대로,,대전광역시동구용전동220,317,1,N,N,36.3486149,127.4353024,7,8.1,27.7,Y,,,,,Y,Y,Y,Y,대전광역시,042-120,2023-01-05,40,3,7,6,1,6,3732,6,3092,0.0
대전광역시,동구,동서대로1683번길,,대전광역시동구용전동220,318,1,N,N,36.34924917,127.436508,2,3.9,8.3,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,27,3,7,6,2,0,0,6,3092,1.0
대전광역시,동구,동서대로,,대전광역시동구용전동220,319,1,N,N,36.34950064,127.4378113,8,8.6,31.5,Y,,,,,Y,Y,Y,Y,대전광역시,042-120,2023-01-05,107,3,6,6,1,6,3732,6,3092,2.0
대전광역시,동구,동서대로,,대전광역시동구용전동630,323,1,N,N,36.35105082,127.4424755,1,4.0,8.6,N,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,215,4,4,4,1,6,3732,6,3092,0.0
대전광역시,동구,동서대로,,대전광역시동구용전동630,324,1,N,N,36.35077394,127.4420485,1,3.1,6.2,N,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,237,4,4,5,0,6,3732,6,3092,0.0
대전광역시,동구,동대전로,,대전광역시동구용전동630,325,1,Y,N,36.35094209,127.4421992,8,7.8,26.0,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,233,4,4,4,0,2,1981,6,3092,0.0
대전광역시,동구,가양로,,대전광역시동구용전동635,327,1,Y,Y,36.35054021,127.4413758,5,4.0,25.5,N,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,17,4,5,7,1,0,0,6,3092,0.0
대전광역시,동구,동서대로,,대전광역시동구용전동630,328,1,Y,N,36.35099421,127.4418187,9,7.9,31.0,Y,,,,,Y,Y,Y,Y,대전광역시,042-120,2023-01-05,217,4,4,4,1,6,3732,6,3092,0.0
대전광역시,동구,합내로,,대전광역시동구용전동636,329,1,N,N,36.35004985,127.4399439,2,5.7,8.1,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,24,4,6,7,2,0,0,6,3092,0.0
대전광역시,동구,한밭대로,,대전광역시동구중리동226,551,1,N,N,36.35713826,127.4348198,9,5.7,45.9,Y,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,21,1,2,2,2,3,1709,0,0,0.0
대전광역시,동구,계족로505번길,,대전광역시동구중리동228,553,1,N,N,36.35687682,127.4325796,1,3.4,6.3,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,13,1,2,2,2,0,0,0,0,0.0
대전광역시,동구,계족로,,대전광역시동구중리동43-4,554,1,N,N,36.35665446,127.4330577,1,4.4,9.8,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,7,1,2,2,2,18,14117,0,0,0.0
대전광역시,동구,계족로521번길,,대전광역시동구중리동228,555,1,N,N,36.35840776,127.4323701,1,4.0,4.6,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,39,1,2,2,2,0,0,0,0,0.0
대전광역시,동구,계족로511번길,,대전광역시동구중리동228,556,1,N,N,36.35739988,127.4325531,1,4.2,5.2,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,32,1,2,2,2,0,0,0,0,0.0
대전광역시,동구,계족로512번길,,대전광역시동구중리동230,557,1,N,N,36.35740203,127.4330366,1,4.8,5.6,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,16,1,2,2,4,2,680,0,0,0.0
대전광역시,동구,계족로517번길,,대전광역시동구중리동228,558,1,N,N,36.35788716,127.4324861,1,4.0,4.8,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,32,1,2,2,2,0,0,0,0,0.0
대전광역시,동구,계족로489번길,,대전광역시동구중리동229,559,1,N,Y,36.35549384,127.4325266,1,3.5,5.9,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,14,1,4,3,2,1,1036,0,0,0.0
대전광역시,동구,계족로490번길,,대전광역시동구용전동231,560,1,N,Y,36.35545647,127.4329774,1,3.4,5.9,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,8,1,4,3,2,0,0,6,3092,0.0
대전광역시,동구,동서대로,,대전광역시동구용전동221,561,1,N,Y,36.34889026,127.4352962,2,4.7,5.9,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,30,3,7,6,1,6,3732,6,3092,0.0
대전광역시,동구,동서대로1678번길,,대전광역시동구용전동510,562,1,N,N,36.34866192,127.4362924,1,4.1,4.8,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,6,3,8,6,2,0,0,6,3092,0.0
대전광역시,동구,동서대로1692번길,,대전광역시동구용전동510,563,1,N,N,36.3490517,127.4377732,1,4.3,6.5,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,59,4,7,7,1,0,0,6,3092,2.0
대전광역시,동구,동서대로,,대전광역시동구용전동63-35,564,1,N,N,36.34977654,127.4376736,2,6.2,8.9,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,84,4,6,6,1,6,3732,6,3092,3.0
대전광역시,동구,동서대로,,대전광역시동구용전동220,565,1,Y,Y,36.34980852,127.4379764,1,5.4,7.4,N,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,94,3,6,6,1,6,3732,6,3092,3.0
대전광역시,동구,동서대로1695번길,,대전광역시동구용전동220,566,1,N,N,36.34974036,127.4378607,2,5.7,14.1,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,96,4,6,6,1,0,0,6,3092,3.0
대전광역시,동구,동서대로,,대전광역시동구용전동68-9,567,1,N,N,36.34992599,127.4382662,1,4.5,3.3,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,80,4,6,6,2,6,3732,6,3092,2.0
대전광역시,동구,동서대로1705번길,,대전광역시동구용전동219,568,1,N,Y,36.35012699,127.4387921,2,4.4,7.9,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,19,4,6,6,1,0,0,6,3092,1.0
대전광역시,동구,동서대로,,대전광역시동구용전동220,569,1,N,N,36.35014101,127.4396355,9,10.0,44.9,Y,,,,,Y,Y,Y,N,대전광역시,042-120,2023-01-05,21,4,5,6,2,6,3732,6,3092,1.0
대전광역시,동구,비래서로62번길,,대전광역시동구비래동667,578,1,N,N,36.35410487,127.4511989,2,4.5,7.5,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,14,4,2,1,2,0,0,0,0,0.0
대전광역시,동구,비래서로61번길,,대전광역시동구비래동538,579,1,N,N,36.35439726,127.4513771,2,4.4,7.1,N,,,,,N,Y,Y,N,대전광역시,042-120,2023-01-05,3,3,1,1,2,0,0,0,0,0.0
대전광역시,동구,동서대로1770번길,,대전광역시동구송촌동565,598,1,N,N,36.35363913,127.4438401,2,4.7,7.6,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,0,4,3,3,2,0,0,0,0,0.0
대전광역시,동구,동서대로1761번길,,대전광역시동구송촌동366,599,1,N,N,36.353211,127.4429144,2,4.5,6.4,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,0,3,3,3,2,0,0,0,0,0.0
대전광역시,동구,동서대로1754번길,,대전광역시동구송촌동557-14,600,1,N,N,36.35235558,127.4431453,2,3.8,6.7,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,0,4,4,4,2,0,0,0,0,0.0
대전광역시,동구,동서대로1748번길,,대전광역시동구송촌동660,601,1,N,N,36.35170553,127.4428309,2,5.3,8.3,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,20,3,4,4,2,0,0,0,0,0.0
대전광역시,동구,산내로1305번길,,대전광역시동구대별동692,1178,1,N,N,36.27999381,127.4656051,1,2.8,13.0,N,,,,,N,Y,N,N,대전광역시,042-120,2023-01-05,6,1,1,1,0,0,0,0,0,0.0
대전광역시,동구,대전로,,대전광역시동구대성동224-4,1179,1,N,N,36.29622673,127.4602939,4,6.4,14.2,Y,,,,,Y,Y,Y,Y,대전광역시,042-120,2023-01-05,51,2,1,0,4,17,10945,3,2282,0.0
