시도명,시군구명,도로명,소재지지번주소,횡단보도관리번호,위도,경도,신고수,학교수,어린이시설수,노인시설수,아파트세대수,cctv수,버스정류장수,횡단보도폭,횡단보도연장,차로수,predict
세종특별자치시,없음,어울로,세종특별자치시한솔동1227,SJ00030,36.480594,127.250642,7,10,1,0,6520,0.0,4,5.3,15.7,3,5
세종특별자치시,없음,장기로,세종특별자치시장군면봉안리508,SJ00031,36.4988842733,127.2245569802,4,0,0,0,0,1.0,1,5.3,26.0,6,4
세종특별자치시,없음,장기로,세종특별자치시장군면봉안리508,SJ00032,36.4988842733,127.2245569802,4,0,0,0,0,1.0,1,5.3,9.0,2,1
세종특별자치시,없음,마음로,세종특별자치시고운동1366,SJ00033,36.5156846522,127.2308396175,2,7,0,0,12094,0.0,0,5.3,13.3,3,3
세종특별자치시,없음,마음로,세종특별자치시고운동1366,SJ00034,36.5156846522,127.2308396175,2,7,0,0,12094,0.0,0,5.3,16.6,6,4
세종특별자치시,없음,마음로,세종특별자치시고운동1366,SJ00035,36.5156846522,127.2308396175,2,7,0,0,12094,0.0,0,5.3,13.1,4,3
세종특별자치시,없음,마음로,세종특별자치시고운동1366,SJ00036,36.5156846522,127.2308396175,2,7,0,0,12094,0.0,0,5.3,16.4,5,3
세종특별자치시,없음,세종로,세종특별자치시종촌동640,SJ00037,36.5081745339,127.2429503466,0,11,1,0,11251,0.0,3,5.3,17.0,5,3
세종특별자치시,없음,세종로,세종특별자치시종촌동640,SJ00038,36.5081745339,127.2429503466,0,11,1,0,11251,0.0,3,5.3,20.6,6,4
세종특별자치시,없음,세종로,세종특별자치시종촌동640,SJ00039,36.5081745339,127.2429503466,0,11,1,0,11251,0.0,3,5.3,17.0,5,3
세종특별자치시,없음,세종로,세종특별자치시종촌동640,SJ00040,36.5081745339,127.2429503466,0,11,1,0,11251,0.0,3,5.3,20.9,6,4
세종특별자치시,없음,갈매로,세종특별자치시어진동654,SJ00041,36.4968074047,127.2643385866,4,5,3,0,4282,0.0,3,5.3,23.3,7,4
세종특별자치시,없음,갈매로,세종특별자치시어진동654,SJ00042,36.4968074047,127.2643385866,4,5,3,0,4282,0.0,3,5.3,23.9,7,4
세종특별자치시,없음,갈매로,세종특별자치시어진동654,SJ00043,36.496814,127.2643385866,4,5,3,0,4282,0.0,3,5.3,24.3,7,4
세종특별자치시,없음,갈매로,세종특별자치시어진동654,SJ00044,36.4968074047,127.2643385866,4,5,3,0,4282,0.0,3,5.3,17.1,5,4
세종특별자치시,없음,마음로,세종특별자치시고운동산95,SJ00045,36.5215542252,127.234216,4,5,1,0,12094,0.0,0,5.3,10.6,5,3
세종특별자치시,없음,마음로,세종특별자치시고운동산95,SJ00046,36.5215542252,127.2342136657,4,5,1,0,12094,0.0,0,5.3,16.5,3,3
세종특별자치시,없음,마음로,세종특별자치시고운동산95,SJ00047,36.5215542252,127.234281,4,5,1,0,12094,0.0,0,5.3,10.2,5,3
세종특별자치시,없음,마음로,세종특별자치시고운동산95,SJ00048,36.5215542252,127.234289,4,5,1,0,12094,0.0,0,5.3,16.6,3,3
대전광역시,동구,비래서로,대전광역시동구비래동668,190,36.35423921,127.4510723,8,3,2,1,866,0.0,2,6.2,12.7,4,1
대전광역시,동구,비래서로42번길,대전광역시동구비래동668,194,36.35401751,127.4491509,11,4,2,1,0,1.0,2,5.5,21.3,3,6
대전광역시,동구,비래서로,대전광역시동구비래동668,195,36.3541183,127.4493737,12,4,2,1,866,1.0,3,6.4,15.5,4,6
대전광역시,동구,비래서로,대전광역시동구비래동523,197,36.35413629,127.4490154,11,4,2,1,866,1.0,2,8.1,16.0,5,4
대전광역시,동구,비래동로,대전광역시동구비래동523,198,36.35433123,127.4492775,6,4,2,1,0,1.0,3,8.8,13.4,4,6
대전광역시,동구,계족로,대전광역시동구중리동227,240,36.35676277,127.4328254,13,1,2,2,14117,0.0,2,7.7,22.2,6,4
대전광역시,동구,한밭대로,대전광역시동구중리동227,241,36.35871347,127.4329377,56,1,2,2,1709,0.0,1,8.3,27.2,8,4
대전광역시,동구,한밭대로,대전광역시동구중리동227,242,36.35852368,127.4328457,60,1,2,2,1709,0.0,2,6.0,8.0,1,1
대전광역시,동구,한밭대로,대전광역시동구중리동450,263,36.35939829,127.4318084,13,1,2,2,1709,0.0,2,5.8,6.8,1,1
대전광역시,동구,계족로,대전광역시동구중리동450,269,36.35943225,127.4321498,15,1,2,2,14117,0.0,0,8.5,36.6,7,4
대전광역시,동구,계족로,대전광역시동구중리동227,270,36.35859556,127.4326159,137,1,2,2,14117,0.0,1,8.4,25.1,7,7
대전광역시,동구,한밭대로,대전광역시동구중리동227,271,36.35910644,127.4319179,97,1,2,2,1709,0.0,3,8.0,26.4,8,4
대전광역시,동구,한밭대로,대전광역시동구중리동226,284,36.35842109,127.4335826,25,1,2,2,1709,0.0,3,3.9,9.3,1,1
대전광역시,동구,계족로,대전광역시동구용전동220,288,36.35536003,127.4327377,12,1,4,3,14117,0.0,2,8.0,21.3,6,4
대전광역시,동구,동서대로1695번길,대전광역시동구용전동65-1,289,36.35343779,127.4374836,60,1,4,4,3092,0.0,0,3.7,5.8,1,1
대전광역시,동구,동서대로1683번길,대전광역시동구용전동65-1,290,36.35423966,127.4372895,47,1,4,4,3092,0.0,2,1.7,9.2,1,1
대전광역시,동구,동서대로1695번길,대전광역시동구용전동65-15,291,36.35325615,127.437276,29,1,4,4,3092,0.0,1,5.0,8.0,1,1
대전광역시,동구,동서대로1695번길,대전광역시동구용전동234,292,36.35315119,127.4371688,29,1,4,4,3092,0.0,1,3.7,6.2,2,1
대전광역시,동구,동서대로1683번길,대전광역시동구용전동233,294,36.35384114,127.4366734,11,1,4,4,3092,0.0,1,5.6,9.8,1,1
대전광역시,동구,동서대로1683번길,대전광역시동구용전동65-1,295,36.35374862,127.436652,12,1,4,4,3092,0.0,0,1.8,7.8,1,1
대전광역시,동구,한밭대로,대전광역시동구중리동226,296,36.3577165,127.4344296,14,1,2,2,1709,0.0,3,4.0,9.4,1,1
대전광역시,동구,한밭대로,대전광역시동구용전동226,297,36.35619476,127.4362682,8,1,2,3,3092,0.0,1,3.7,6.5,1,1
대전광역시,동구,한밭대로,대전광역시동구용전동226,298,36.35597815,127.4362057,11,1,2,3,3092,0.0,1,8.3,27.6,8,4
대전광역시,동구,한밭대로1254번길,대전광역시동구용전동226,300,36.35594261,127.4359435,11,1,2,3,3092,0.0,1,3.9,6.2,1,1
대전광역시,동구,동서대로1653번길,대전광역시동구중리동226,301,36.35691962,127.4347697,16,1,2,3,0,0.0,2,4.4,7.5,2,1
대전광역시,동구,한밭대로,대전광역시동구중리동226,302,36.35747277,127.4341116,14,1,2,2,1709,0.0,3,4.1,7.8,1,1
대전광역시,동구,한밭대로1237번길,대전광역시동구중리동226,303,36.35716438,127.4351142,16,1,2,2,914,0.0,2,5.6,8.9,2,1
대전광역시,동구,동서대로1695번길,대전광역시동구용전동234,304,36.35304801,127.4371786,30,1,4,4,3092,0.0,1,6.2,11.0,2,1
대전광역시,동구,동서대로1695번길,대전광역시동구용전동63-3,315,36.35040058,127.4374754,30,2,6,6,3092,1.0,1,8.2,17.5,6,4
대전광역시,동구,동서대로1668번길,대전광역시동구용전동509,316,36.34836874,127.4351628,39,3,7,6,3092,0.0,1,8.1,15.5,2,2
대전광역시,동구,동서대로,대전광역시동구용전동220,317,36.3486149,127.4353024,40,3,7,6,3732,0.0,1,8.1,27.7,7,4
대전광역시,동구,동서대로1683번길,대전광역시동구용전동220,318,36.34924917,127.436508,27,3,7,6,3092,1.0,2,3.9,8.3,2,2
대전광역시,동구,동서대로,대전광역시동구용전동220,319,36.34950064,127.4378113,107,3,6,6,3732,2.0,1,8.6,31.5,8,7
대전광역시,동구,동서대로,대전광역시동구용전동630,323,36.35105082,127.4424755,215,4,4,4,3732,0.0,1,4.0,8.6,1,7
대전광역시,동구,동서대로,대전광역시동구용전동630,324,36.35077394,127.4420485,237,4,4,5,3732,0.0,0,3.1,6.2,1,7
대전광역시,동구,동대전로,대전광역시동구용전동630,325,36.35094209,127.4421992,233,4,4,4,3092,0.0,0,7.8,26.0,8,7
대전광역시,동구,가양로,대전광역시동구용전동635,327,36.35054021,127.4413758,17,4,5,7,3092,0.0,1,4.0,25.5,5,2
대전광역시,동구,동서대로,대전광역시동구용전동630,328,36.35099421,127.4418187,217,4,4,4,3732,0.0,1,7.9,31.0,9,7
대전광역시,동구,합내로,대전광역시동구용전동636,329,36.35004985,127.4399439,24,4,6,7,3092,0.0,2,5.7,8.1,2,2
대전광역시,동구,한밭대로,대전광역시동구중리동226,551,36.35713826,127.4348198,21,1,2,2,1709,0.0,2,5.7,45.9,9,4
대전광역시,동구,계족로505번길,대전광역시동구중리동228,553,36.35687682,127.4325796,13,1,2,2,0,0.0,2,3.4,6.3,1,1
대전광역시,동구,계족로,대전광역시동구중리동43-4,554,36.35665446,127.4330577,7,1,2,2,14117,0.0,2,4.4,9.8,1,1
대전광역시,동구,계족로521번길,대전광역시동구중리동228,555,36.35840776,127.4323701,39,1,2,2,0,0.0,2,4.0,4.6,1,1
대전광역시,동구,계족로511번길,대전광역시동구중리동228,556,36.35739988,127.4325531,32,1,2,2,0,0.0,2,4.2,5.2,1,1
대전광역시,동구,계족로512번길,대전광역시동구중리동230,557,36.35740203,127.4330366,16,1,2,2,680,0.0,4,4.8,5.6,1,1
대전광역시,동구,계족로517번길,대전광역시동구중리동228,558,36.35788716,127.4324861,32,1,2,2,0,0.0,2,4.0,4.8,1,1
대전광역시,동구,계족로489번길,대전광역시동구중리동229,559,36.35549384,127.4325266,14,1,4,3,1036,0.0,2,3.5,5.9,1,1
대전광역시,동구,계족로490번길,대전광역시동구용전동231,560,36.35545647,127.4329774,8,1,4,3,3092,0.0,2,3.4,5.9,1,1
대전광역시,동구,동서대로,대전광역시동구용전동221,561,36.34889026,127.4352962,30,3,7,6,3732,0.0,1,4.7,5.9,2,2
대전광역시,동구,동서대로1678번길,대전광역시동구용전동510,562,36.34866192,127.4362924,6,3,8,6,3092,0.0,2,4.1,4.8,1,2
대전광역시,동구,동서대로1692번길,대전광역시동구용전동510,563,36.3490517,127.4377732,59,4,7,7,3092,2.0,1,4.3,6.5,1,2
대전광역시,동구,동서대로,대전광역시동구용전동63-35,564,36.34977654,127.4376736,84,4,6,6,3732,3.0,1,6.2,8.9,2,6
대전광역시,동구,동서대로,대전광역시동구용전동220,565,36.34980852,127.4379764,94,3,6,6,3732,3.0,1,5.4,7.4,1,6
대전광역시,동구,동서대로1695번길,대전광역시동구용전동220,566,36.34974036,127.4378607,96,4,6,6,3092,3.0,1,5.7,14.1,2,6
대전광역시,동구,동서대로,대전광역시동구용전동68-9,567,36.34992599,127.4382662,80,4,6,6,3732,2.0,2,4.5,3.3,1,6
대전광역시,동구,동서대로1705번길,대전광역시동구용전동219,568,36.35012699,127.4387921,19,4,6,6,3092,1.0,1,4.4,7.9,2,2
대전광역시,동구,동서대로,대전광역시동구용전동220,569,36.35014101,127.4396355,21,4,5,6,3732,1.0,2,10.0,44.9,9,4
대전광역시,동구,비래서로62번길,대전광역시동구비래동667,578,36.35410487,127.4511989,14,4,2,1,0,0.0,2,4.5,7.5,2,1
대전광역시,동구,비래서로61번길,대전광역시동구비래동538,579,36.35439726,127.4513771,3,3,1,1,0,0.0,2,4.4,7.1,2,1
대전광역시,동구,동서대로1770번길,대전광역시동구송촌동565,598,36.35363913,127.4438401,0,4,3,3,0,0.0,2,4.7,7.6,2,1
대전광역시,동구,동서대로1761번길,대전광역시동구송촌동366,599,36.353211,127.4429144,0,3,3,3,0,0.0,2,4.5,6.4,2,1
대전광역시,동구,동서대로1754번길,대전광역시동구송촌동557-14,600,36.35235558,127.4431453,0,4,4,4,0,0.0,2,3.8,6.7,2,5
대전광역시,동구,동서대로1748번길,대전광역시동구송촌동660,601,36.35170553,127.4428309,20,3,4,4,0,0.0,2,5.3,8.3,2,1
대전광역시,동구,산내로1305번길,대전광역시동구대별동692,1178,36.27999381,127.4656051,6,1,1,1,0,0.0,0,2.8,13.0,1,1
대전광역시,동구,대전로,대전광역시동구대성동224-4,1179,36.29622673,127.4602939,51,2,1,0,10945,0.0,4,6.4,14.2,4,4
대전광역시,동구,대전로,대전광역시동구대성동195-14,1180,36.29622293,127.4601081,62,2,1,0,10945,0.0,4,4.3,4.3,1,5
대전광역시,동구,회남로,대전광역시동구신촌동산17-4,1265,36.3722932,127.5100283,0,0,0,0,0,0.0,2,8.5,10.3,2,1
대전광역시,동구,회남로,대전광역시동구주촌동산13-1,1266,36.39706517,127.5319926,0,0,0,0,0,0.0,2,7.7,4.6,2,1
대전광역시,동구,비래서로42번길,대전광역시동구비래동666,1289,36.35214887,127.4480239,12,4,3,3,0,0.0,0,4.0,7.6,1,1
대전광역시,동구,대전로,대전광역시동구대성동152,1623,36.29921171,127.4583956,15,2,2,0,10945,0.0,2,4.0,7.0,2,1
대전광역시,동구,대전로,대전광역시동구천동68-4,1624,36.30965707,127.4491393,23,4,5,1,10945,0.0,3,6.4,7.0,5,3
대전광역시,동구,우암로,대전광역시동구성남동440-3,1917,36.33972294,127.4339455,28,11,5,4,2783,0.0,2,6.7,19.3,6,4
대전광역시,동구,중앙로,대전광역시동구소제동291-24,1918,36.332502,127.4369961,40,11,2,3,2566,0.0,6,1.8,2.2,1,5
대전광역시,동구,새둑길,대전광역시동구삼성동293-94,1919,36.33450307,127.436605,4,9,2,2,1929,0.0,2,4.0,7.8,2,5
대전광역시,동구,열두칸1길,대전광역시동구정동234-55,1920,36.33018241,127.4370616,2,9,1,3,0,0.0,0,4.4,17.8,4,4
대전광역시,동구,계족로,대전광역시동구소제동303-1,1921,36.3334357,127.4396911,48,11,5,5,14117,0.0,4,7.7,21.8,6,4
대전광역시,동구,중앙로,대전광역시동구소제동293-89,1922,36.33240071,127.4366086,98,11,1,3,2566,0.0,5,4.1,9.3,2,7
대전광역시,동구,중앙로,대전광역시동구소제동303-1,1923,36.33358339,127.4394288,47,12,4,5,2566,0.0,4,7.3,20.1,10,4
대전광역시,동구,계족로,대전광역시동구성남동305-10,1924,36.33652605,127.4386891,2,10,3,8,14117,0.0,3,4.3,12.3,2,2
대전광역시,동구,한솔길,대전광역시동구성남동55-7,1925,36.33934266,127.4367404,10,9,6,5,2536,1.0,1,3.9,5.7,1,2
대전광역시,동구,소랑2길,대전광역시동구삼성동80-28,1926,36.33774348,127.4354564,3,10,4,5,1929,0.0,0,4.1,5.3,2,2
대전광역시,동구,가양로,대전광역시동구성남동598-14,1927,36.33977374,127.4397316,16,9,6,8,2536,0.0,0,6.2,26.4,6,2
대전광역시,동구,새둑길,대전광역시동구삼성동299-514,1928,36.33520797,127.4364744,2,9,2,3,1929,0.0,0,6.0,6.8,2,5
대전광역시,동구,철갑길,대전광역시동구삼성동299-53,1929,36.33542177,127.4390294,12,10,3,7,1929,1.0,2,4.2,7.6,1,2
대전광역시,동구,계족로,대전광역시동구삼성동299-53,1930,36.33536298,127.4392202,12,10,3,7,14117,1.0,2,8.3,21.2,8,4
대전광역시,동구,옥천로,대전광역시동구신흥동609-7,1931,36.31999506,127.447576,29,5,6,1,4290,0.0,0,4.2,10.3,1,5
대전광역시,동구,대전로542번길,대전광역시동구천동532,1932,36.31377469,127.4456679,1,2,2,0,2669,0.0,2,6.7,12.0,4,1
대전광역시,동구,대전로542번길,대전광역시동구신흥동537,1933,36.31628259,127.4476345,9,2,4,1,4290,0.0,0,4.2,5.8,1,1
대전광역시,동구,광명길,대전광역시동구대동500-27,1934,36.32608779,127.4478034,3,8,5,1,2039,0.0,3,4.0,10.5,1,5
대전광역시,동구,계족로140번길,대전광역시동구대동528-1,1935,36.32613871,127.4476439,2,8,5,1,2039,0.0,3,8.4,11.3,4,5
대전광역시,동구,대동초등5길,대전광역시동구대동353-10,1936,36.32527515,127.4476049,5,7,6,1,2039,0.0,2,4.1,3.3,1,5
대전광역시,동구,대동초등5길,대전광역시동구대동360,1937,36.32534051,127.4476196,4,7,6,1,2039,0.0,2,4.0,3.3,1,5
대전광역시,동구,대동초등5길,대전광역시동구대동360,1938,36.32534084,127.447554,3,7,6,1,2039,0.0,2,4.2,3.6,1,5
대전광역시,동구,대동초등2길,대전광역시동구대동356,1939,36.32561449,127.4453354,2,6,4,2,2039,2.0,2,4.2,9.8,1,6
대전광역시,동구,대동초등3길,대전광역시동구대동360,1940,36.32521597,127.4461831,6,7,4,2,2039,1.0,3,3.2,4.3,1,6
대전광역시,동구,대전로542번길,대전광역시동구효동533,1941,36.31536412,127.4451173,17,2,2,0,2669,2.0,3,6.5,11.7,4,6
대전광역시,동구,대전로542번길,대전광역시동구신흥동533,1942,36.31589374,127.4464632,8,2,4,1,4290,0.0,0,4.0,15.1,4,1
대전광역시,동구,대종로,대전광역시동구옥계동51-1,1944,36.29863504,127.4547375,0,2,2,0,2423,0.0,2,8.5,21.1,6,4
대전광역시,동구,대전로542번길,대전광역시동구천동535,1945,36.31626836,127.4477802,9,2,4,1,2669,0.0,0,4.0,6.7,3,1
대전광역시,동구,대전로542번길,대전광역시동구천동529,1946,36.31562692,127.4461959,9,2,4,0,2669,0.0,2,3.2,7.8,2,1
대전광역시,동구,대전로542번길,대전광역시동구신흥동535,1947,36.31589724,127.4466807,8,2,4,1,4290,0.0,0,5.9,6.6,3,1
대전광역시,동구,대전로542번길,대전광역시동구효동529,1948,36.31550629,127.4458288,15,2,3,0,2669,1.0,2,3.1,5.4,1,6
대전광역시,동구,대전로542번길,대전광역시동구신흥동533,1949,36.31564625,127.4460029,8,2,3,0,4290,1.0,2,6.4,9.5,4,6
대전광역시,동구,옻밭4길,대전광역시동구대동6,1950,36.32328435,127.4456667,14,6,5,1,2039,0.0,2,5.0,11.2,1,5
대전광역시,동구,대동초등1길,대전광역시동구대동200-10,1951,36.32417832,127.446127,39,7,5,2,2039,0.0,2,4.6,10.6,1,5
대전광역시,동구,대동천우안1길,대전광역시동구신흥동202-4,1952,36.32122013,127.4460871,11,5,5,1,4290,0.0,2,2.3,3.9,1,5
대전광역시,동구,옥천로,대전광역시동구신흥동26-1,1953,36.3208997,127.4455283,23,4,5,1,4290,0.0,3,4.1,8.5,2,5
대전광역시,동구,옻밭2길,대전광역시동구신흥동6,1954,36.32255471,127.4452078,17,6,4,1,4290,0.0,3,3.9,5.1,1,5
대전광역시,동구,계족로,대전광역시동구대동6,1955,36.32382849,127.4456027,37,6,4,2,14117,0.0,2,4.0,4.2,1,3
대전광역시,동구,안샘1길,대전광역시동구인동502-87,1956,36.3177407,127.4453815,2,3,3,0,2452,1.0,0,2.3,6.6,1,6
대전광역시,동구,천동초등동길,대전광역시동구인동178-17,1957,36.3178622,127.4452999,3,3,3,0,2452,0.0,0,4.1,19.9,6,4
대전광역시,동구,천동초등4길,대전광역시동구인동187-15,1958,36.31741427,127.4451619,1,3,2,0,2452,1.0,0,3.0,6.5,1,6
대전광역시,동구,번동1길,대전광역시동구인동186-2,1959,36.31752567,127.4449195,1,3,2,0,2452,1.0,0,3.0,5.2,1,6
대전광역시,동구,천동초등동길,대전광역시동구인동187-17,1960,36.31713923,127.4448166,0,3,2,0,2452,1.0,1,5.9,14.4,5,6
대전광역시,동구,천동초등동길,대전광역시동구인동187-21,1961,36.316975,127.4448095,0,3,2,0,2452,1.0,2,3.0,16.1,1,6
대전광역시,동구,번동3길,대전광역시동구인동178-11,1962,36.3183374,127.4453568,2,4,4,1,2452,0.0,0,4.0,5.3,1,1
대전광역시,동구,번동2길,대전광역시동구인동502-87,1963,36.31789059,127.4451392,3,4,3,0,2452,1.0,0,1.9,2.9,1,6
대전광역시,동구,천동초등동길,대전광역시동구인동187-3,1964,36.31707889,127.4445476,0,3,2,0,2452,1.0,1,4.0,10.2,1,6
대전광역시,동구,안샘2길,대전광역시동구신흥동178-18,1965,36.31819061,127.4457106,3,4,4,1,4290,0.0,0,3.1,5.5,1,1
대전광역시,동구,효천4길,대전광역시동구인동187-21,1966,36.31688483,127.4445698,0,3,2,0,2452,1.0,2,6.1,15.2,5,4
대전광역시,동구,대전로542번길,대전광역시동구인동532,1967,36.31659706,127.4443616,1,1,2,0,2669,1.0,2,6.0,17.6,5,4
대전광역시,동구,효천4길,대전광역시동구인동187-21,1968,36.31677178,127.4443363,0,2,2,0,2452,1.0,2,2.0,5.3,1,6
대전광역시,동구,대전로825번길,대전광역시동구삼성동317,1969,36.33138842,127.4282077,23,5,1,1,1929,1.0,0,3.2,10.4,1,6
대전광역시,동구,대전천동로,대전광역시동구삼성동51-58,1970,36.33155915,127.4279736,9,5,1,1,1929,0.0,0,3.4,11.2,1,1
대전광역시,동구,대전로807번길,대전광역시동구중동317,1971,36.33051354,127.4293597,34,5,1,1,0,1.0,4,3.0,11.5,1,6
대전광역시,동구,대전로813번길,대전광역시동구삼성동317,1972,36.33083215,127.4289296,10,5,1,1,1929,1.0,3,3.9,11.1,1,6
대전광역시,동구,태전로,대전광역시동구삼성동457,1973,36.33473871,127.4280944,14,6,1,0,1929,1.0,0,2.6,2.9,1,6
대전광역시,동구,대전로779번길,대전광역시동구중동406-2,1974,36.32843714,127.4310801,28,3,0,1,0,1.0,0,3.8,6.6,1,6
대전광역시,동구,대전천동로,대전광역시동구중동406-2,1975,36.32831202,127.4310531,35,2,0,1,162,1.0,0,2.4,11.3,1,6
대전광역시,동구,대전천서로,대전광역시동구중동330,1976,36.32809356,127.4301508,0,2,0,1,2272,0.0,0,2.5,10.2,1,1
대전광역시,동구,대전천동로,대전광역시동구중동406-2,1977,36.32877645,127.4307169,23,3,0,1,162,1.0,0,4.0,5.4,2,6
대전광역시,동구,대전로791번길,대전광역시동구중동317,1978,36.32924145,127.4304054,15,3,0,1,0,1.0,3,3.6,13.6,1,6
대전광역시,동구,가양남로,대전광역시동구가양동561-17,1979,36.33997606,127.4428789,15,9,8,9,1954,0.0,0,5.6,5.9,2,2
대전광역시,동구,동서대로1572번길,대전광역시동구성남동155-51,1980,36.34018941,127.4346851,15,9,5,5,2536,0.0,3,6.3,15.0,1,2
대전광역시,동구,가양로,대전광역시동구성남동703,1981,36.34048014,127.4394645,13,10,6,8,2536,0.0,0,4.0,8.9,3,2
대전광역시,동구,동서대로1692번길,대전광역시동구성남동17-8,1982,36.34205721,127.4383801,20,9,6,6,2536,0.0,3,3.4,5.6,1,2
대전광역시,동구,우암로,대전광역시동구성남동474-70,1983,36.34070285,127.4362226,156,9,6,5,2783,0.0,4,3.0,4.0,1,7
대전광역시,동구,은어송로52번길,대전광역시동구가오동719,1984,36.30605548,127.456913,17,5,3,1,3801,0.0,2,4.0,7.9,1,5
대전광역시,동구,동구청로,대전광역시동구판암동680,1985,36.3099411,127.4553168,28,5,5,1,9326,0.0,4,8.1,21.8,7,4
대전광역시,동구,신기로,대전광역시동구판암동689,1986,36.30975702,127.4554734,27,5,5,1,9326,0.0,4,8.2,16.7,4,4
대전광역시,동구,신기로,대전광역시동구판암동679,1987,36.30976371,127.4550748,49,5,5,1,9326,0.0,4,6.0,10.6,4,5
대전광역시,동구,동구청로,대전광역시동구판암동680,1988,36.30959187,127.4552415,50,5,5,1,9326,0.0,4,7.9,20.3,7,4
